id,amount,date,merchant,location
TX-1001,7500,2023-06-15,International Electronics,Foreign Country
TX-1002,6200,2023-06-16,Unverified Payment Service,International
TX-1003,4800,2023-06-17,Foreign Trading Company,Unknown
TX-1004,9200,2023-06-18,Digital Transfer Service,Local
TX-1005,3500,2023-06-19,Online Payment Platform,Local
TX-1006,5100,2023-06-20,International Marketplace,Foreign Country
TX-1007,8700,2023-06-21,Unknown Vendor,International
TX-1008,2900,2023-06-22,Electronic Goods Store,Local
TX-1009,6800,2023-06-23,Foreign Exchange Service,Foreign Country
TX-1010,4300,2023-06-24,Unverified Merchant,Local
TX-1011,7200,2023-06-25,International Shipping,Foreign Country
TX-1012,5600,2023-06-26,Digital Wallet Transfer,Local
TX-1013,3800,2023-06-27,Foreign Retail Chain,International
TX-1014,9500,2023-06-28,Unknown Payment Processor,Local
TX-1015,4100,2023-06-29,Online Electronics Store,Local
TX-1016,6700,2023-06-30,International Subscription,Foreign Country
TX-1017,8200,2023-07-01,Unverified Digital Service,International
TX-1018,3400,2023-07-02,Foreign Marketplace,Foreign Country
TX-1019,5900,2023-07-03,Electronic Transfer Service,Local
TX-1020,7100,2023-07-04,Unknown International Vendor,Foreign Country
